member_id,birth_date,hire_date,prior_termination_date,rehire_date,termination_date,retirement_date,plan_tier,survivor_option
MBR-00001,1950-09-22,1990-10-27,,,2013-01-01,2013-01-01,clergy,js50
MBR-00002,1950-10-14,1980-01-23,,,,,lay,js50
MBR-00003,1969-07-07,2008-07-05,,,2039-09-01,2039-09-01,lay,js50
MBR-00004,1975-09-04,2014-02-01,,,2045-05-01,2045-05-01,lay,js50
MBR-00005,1959-02-14,1983-12-13,,,2023-06-01,2023-06-01,lay,js50
MBR-00006,1963-06-06,2006-10-26,,,2032-02-01,2032-02-01,lay,js50
MBR-00007,1954-09-12,1995-10-28,,,2019-06-01,2019-06-01,lay,js50
MBR-00008,1974-09-10,2009-04-26,,,2041-08-01,2041-08-01,clergy,js50
MBR-00009,1951-03-12,1983-02-18,,,2011-05-01,2011-05-01,lay,js100
MBR-00010,1947-09-01,1983-03-09,,,2013-05-01,2013-05-01,clergy,js50
MBR-00011,1973-11-27,2016-05-05,,,,,clergy,js50
MBR-00012,1950-02-05,1974-03-06,,,2017-07-01,2017-07-01,clergy,js50
MBR-00013,1950-09-04,1988-05-15,,,2012-01-01,2012-01-01,lay,js100
MBR-00014,1969-09-10,2006-01-23,,,2030-08-01,2030-08-01,lay,none
MBR-00015,1965-02-13,2003-05-25,,,,,clergy,none
MBR-00016,1974-12-21,2004-05-25,,,2035-02-01,2035-02-01,lay,js100
MBR-00017,1957-11-15,1990-10-09,,,2022-12-01,2022-12-01,clergy,none
MBR-00018,1975-12-09,2000-03-15,,,,,clergy,js50
MBR-00019,1962-01-13,2000-12-12,,,2028-01-01,2028-01-01,clergy,js50
MBR-00020,1964-11-24,1996-12-19,,,2033-11-01,2033-11-01,lay,none
MBR-00021,1956-05-22,1983-06-28,,,2022-12-01,2022-12-01,lay,js50
MBR-00022,1946-04-23,1987-07-27,,,2009-12-01,2009-12-01,clergy,none
MBR-00023,1972-10-20,2003-05-04,,,,,clergy,js50
MBR-00024,1946-10-20,1973-08-16,,,2011-01-01,2011-01-01,clergy,js50
MBR-00025,1973-10-15,2005-02-04,,,2042-02-01,2042-02-01,lay,none
MBR-00026,1954-08-02,1988-10-13,,,,,lay,none
MBR-00027,1947-11-27,1976-10-16,,,2018-08-01,2018-08-01,lay,js100
MBR-00028,1957-05-21,2000-01-08,,,,,lay,js50
MBR-00029,1962-07-12,1992-01-01,,,,,clergy,js100
MBR-00030,1972-05-06,2001-07-25,,,2034-04-01,2034-04-01,clergy,none
MBR-00031,1954-08-01,1981-12-09,,,2017-06-01,2017-06-01,lay,js50
MBR-00032,1962-04-01,2005-09-17,,,2032-11-01,2032-11-01,lay,none
MBR-00033,1958-09-07,1999-02-04,,,2021-06-01,2021-06-01,clergy,js50
MBR-00034,1975-09-22,2012-11-03,,,,,lay,js100
MBR-00035,1952-09-03,1977-11-19,,,2022-07-01,2022-07-01,lay,none
MBR-00036,1964-09-24,2007-05-06,,,2033-08-01,2033-08-01,clergy,js50
MBR-00037,1951-07-14,1978-02-28,,,2017-02-01,2017-02-01,lay,js100
MBR-00038,1968-07-17,2008-01-20,,,2033-07-01,2033-07-01,clergy,js50
MBR-00039,1958-07-01,1994-07-13,,,,,clergy,none
MBR-00040,1968-05-07,2001-02-28,,,2033-12-01,2033-12-01,lay,none
MBR-00041,1968-10-06,2008-08-14,,,2030-07-01,2030-07-01,clergy,js50
MBR-00042,1970-08-18,1995-10-07,,,2038-09-01,2038-09-01,lay,none
MBR-00043,1960-11-18,1992-11-08,,,2028-09-01,2028-09-01,clergy,none
MBR-00044,1946-12-17,1989-04-13,,,2015-02-01,2015-02-01,clergy,js50
MBR-00045,1951-10-12,1979-10-07,,,2018-02-01,2018-02-01,lay,none
MBR-00046,1946-07-27,1979-11-17,,,2014-05-01,2014-05-01,clergy,js50
MBR-00047,1972-04-19,2006-06-01,,,,,clergy,none
MBR-00048,1975-09-16,2000-10-14,,,2040-04-01,2040-04-01,clergy,js100
MBR-00049,1968-09-26,1999-10-26,,,,,lay,none
MBR-00050,1948-08-08,1977-12-18,,,2009-02-01,2009-02-01,clergy,js100
MBR-00051,1973-01-25,2007-08-12,,,,,clergy,js50
MBR-00052,1956-05-16,1999-01-12,,,2020-11-01,2020-11-01,lay,js50
MBR-00053,1963-01-27,1998-11-02,,,2025-07-01,2025-07-01,clergy,js100
MBR-00054,1946-08-13,1970-08-03,,,2008-12-01,2008-12-01,lay,js100
MBR-00055,1973-09-22,2010-08-17,,,2041-12-01,2041-12-01,clergy,js100
