member_id,effective_date,annual_salary
MBR-00001,1990-01-01,66947.0
MBR-00001,1991-01-01,68821.52
MBR-00001,1992-01-01,70748.52
MBR-00001,1993-01-01,72729.48
MBR-00001,1994-01-01,74765.9
MBR-00001,1995-01-01,76859.35
MBR-00001,1996-01-01,79011.41
MBR-00001,1997-01-01,81223.73
MBR-00001,1998-01-01,83497.99
MBR-00001,1999-01-01,85835.94
MBR-00001,2000-01-01,88239.34
MBR-00001,2001-01-01,90710.04
MBR-00001,2002-01-01,93249.93
MBR-00001,2003-01-01,95860.92
MBR-00001,2004-01-01,98545.03
MBR-00001,2005-01-01,101304.29
MBR-00001,2006-01-01,104140.81
MBR-00001,2007-01-01,107056.75
MBR-00001,2008-01-01,110054.34
MBR-00001,2009-01-01,113135.86
MBR-00001,2010-01-01,116303.67
MBR-00001,2011-01-01,119560.17
MBR-00001,2012-01-01,122907.86
MBR-00001,2013-01-01,126349.28
MBR-00002,1980-01-01,44921.0
MBR-00002,1981-01-01,46178.79
MBR-00002,1982-01-01,47471.79
MBR-00002,1983-01-01,48801.0
MBR-00002,1984-01-01,50167.43
MBR-00002,1985-01-01,51572.12
MBR-00002,1986-01-01,53016.14
MBR-00002,1987-01-01,54500.59
MBR-00002,1988-01-01,56026.61
MBR-00002,1989-01-01,57595.35
MBR-00002,1990-01-01,59208.02
MBR-00002,1991-01-01,60865.85
MBR-00002,1992-01-01,62570.09
MBR-00002,1993-01-01,64322.05
MBR-00002,1994-01-01,66123.07
MBR-00002,1995-01-01,67974.52
MBR-00002,1996-01-01,69877.8
MBR-00002,1997-01-01,71834.38
MBR-00002,1998-01-01,73845.75
MBR-00002,1999-01-01,75913.43
MBR-00002,2000-01-01,78039.0
MBR-00002,2001-01-01,80224.09
MBR-00002,2002-01-01,82470.37
MBR-00002,2003-01-01,84779.54
MBR-00002,2004-01-01,87153.37
MBR-00002,2005-01-01,89593.66
MBR-00002,2006-01-01,92102.28
MBR-00002,2007-01-01,94681.15
MBR-00002,2008-01-01,97332.22
MBR-00002,2009-01-01,100057.52
MBR-00002,2010-01-01,102859.13
MBR-00002,2011-01-01,105739.19
MBR-00002,2012-01-01,108699.89
MBR-00002,2013-01-01,111743.48
MBR-00002,2014-01-01,114872.3
MBR-00002,2015-01-01,118088.72
MBR-00002,2016-01-01,121395.21
MBR-00002,2017-01-01,124794.27
MBR-00002,2018-01-01,128288.51
MBR-00002,2019-01-01,131880.59
MBR-00002,2020-01-01,135573.25
MBR-00002,2021-01-01,139369.3
MBR-00002,2022-01-01,143271.64
MBR-00002,2023-01-01,147283.25
MBR-00002,2024-01-01,151407.18
MBR-00002,2025-01-01,155646.58
MBR-00002,2026-01-01,160004.68
MBR-00003,2008-01-01,52511.0
MBR-00003,2009-01-01,53981.31
MBR-00003,2010-01-01,55492.78
MBR-00003,2011-01-01,57046.58
MBR-00003,2012-01-01,58643.89
MBR-00003,2013-01-01,60285.92
MBR-00003,2014-01-01,61973.92
MBR-00003,2015-01-01,63709.19
MBR-00003,2016-01-01,65493.05
MBR-00003,2017-01-01,67326.85
MBR-00003,2018-01-01,69212.01
MBR-00003,2019-01-01,71149.94
MBR-00003,2020-01-01,73142.14
MBR-00003,2021-01-01,75190.12
MBR-00003,2022-01-01,77295.44
MBR-00003,2023-01-01,79459.72
MBR-00003,2024-01-01,81684.59
MBR-00003,2025-01-01,83971.76
MBR-00003,2026-01-01,86322.97
MBR-00003,2027-01-01,88740.01
MBR-00003,2028-01-01,91224.73
MBR-00003,2029-01-01,93779.02
MBR-00003,2030-01-01,96404.83
MBR-00003,2031-01-01,99104.17
MBR-00003,2032-01-01,101879.09
MBR-00003,2033-01-01,104731.7
MBR-00003,2034-01-01,107664.19
MBR-00003,2035-01-01,110678.79
MBR-00003,2036-01-01,113777.79
MBR-00003,2037-01-01,116963.57
MBR-00003,2038-01-01,120238.55
MBR-00003,2039-01-01,123605.23
MBR-00004,2014-01-01,45866.0
MBR-00004,2015-01-01,47150.25
MBR-00004,2016-01-01,48470.45
MBR-00004,2017-01-01,49827.63
MBR-00004,2018-01-01,51222.8
MBR-00004,2019-01-01,52657.04
MBR-00004,2020-01-01,54131.44
MBR-00004,2021-01-01,55647.12
MBR-00004,2022-01-01,57205.24
MBR-00004,2023-01-01,58806.98
MBR-00004,2024-01-01,60453.58
MBR-00004,2025-01-01,62146.28
MBR-00004,2026-01-01,63886.37
MBR-00004,2027-01-01,65675.19
MBR-00004,2028-01-01,67514.1
MBR-00004,2029-01-01,69404.49
MBR-00004,2030-01-01,71347.82
MBR-00004,2031-01-01,73345.56
MBR-00004,2032-01-01,75399.23
MBR-00004,2033-01-01,77510.41
MBR-00004,2034-01-01,79680.7
MBR-00004,2035-01-01,81911.76
MBR-00004,2036-01-01,84205.29
MBR-00004,2037-01-01,86563.04
MBR-00004,2038-01-01,88986.81
MBR-00004,2039-01-01,91478.44
MBR-00004,2040-01-01,94039.83
MBR-00004,2041-01-01,96672.95
MBR-00004,2042-01-01,99379.79
MBR-00004,2043-01-01,102162.42
MBR-00004,2044-01-01,105022.97
MBR-00004,2045-01-01,107963.62
MBR-00005,1983-01-01,65627.0
MBR-00005,1984-01-01,67464.56
MBR-00005,1985-01-01,69353.56
MBR-00005,1986-01-01,71295.46
MBR-00005,1987-01-01,73291.74
MBR-00005,1988-01-01,75343.9
MBR-00005,1989-01-01,77453.53
MBR-00005,1990-01-01,79622.23
MBR-00005,1991-01-01,81851.66
MBR-00005,1992-01-01,84143.5
MBR-00005,1993-01-01,86499.52
MBR-00005,1994-01-01,88921.51
MBR-00005,1995-01-01,91411.31
MBR-00005,1996-01-01,93970.83
MBR-00005,1997-01-01,96602.01
MBR-00005,1998-01-01,99306.86
MBR-00005,1999-01-01,102087.46
MBR-00005,2000-01-01,104945.91
MBR-00005,2001-01-01,107884.39
MBR-00005,2002-01-01,110905.15
MBR-00005,2003-01-01,114010.5
MBR-00005,2004-01-01,117202.79
MBR-00005,2005-01-01,120484.47
MBR-00005,2006-01-01,123858.04
MBR-00005,2007-01-01,127326.06
MBR-00005,2008-01-01,130891.19
MBR-00005,2009-01-01,134556.14
MBR-00005,2010-01-01,138323.72
MBR-00005,2011-01-01,142196.78
MBR-00005,2012-01-01,146178.29
MBR-00005,2013-01-01,150271.28
MBR-00005,2014-01-01,154478.88
MBR-00005,2015-01-01,158804.29
MBR-00005,2016-01-01,163250.81
MBR-00005,2017-01-01,167821.83
MBR-00005,2018-01-01,172520.84
MBR-00005,2019-01-01,177351.42
MBR-00005,2020-01-01,182317.26
MBR-00005,2021-01-01,187422.15
MBR-00005,2022-01-01,192669.97
MBR-00005,2023-01-01,198064.73
MBR-00006,2006-01-01,31292.0
MBR-00006,2007-01-01,32168.18
MBR-00006,2008-01-01,33068.88
MBR-00006,2009-01-01,33994.81
MBR-00006,2010-01-01,34946.67
MBR-00006,2011-01-01,35925.18
MBR-00006,2012-01-01,36931.08
MBR-00006,2013-01-01,37965.15
MBR-00006,2014-01-01,39028.17
MBR-00006,2015-01-01,40120.96
MBR-00006,2016-01-01,41244.35
MBR-00006,2017-01-01,42399.19
MBR-00006,2018-01-01,43586.37
MBR-00006,2019-01-01,44806.79
MBR-00006,2020-01-01,46061.38
MBR-00006,2021-01-01,47351.1
MBR-00006,2022-01-01,48676.93
MBR-00006,2023-01-01,50039.88
MBR-00006,2024-01-01,51441.0
MBR-00006,2025-01-01,52881.35
MBR-00006,2026-01-01,54362.02
MBR-00006,2027-01-01,55884.16
MBR-00006,2028-01-01,57448.92
MBR-00006,2029-01-01,59057.49
MBR-00006,2030-01-01,60711.1
MBR-00006,2031-01-01,62411.01
MBR-00006,2032-01-01,64158.51
MBR-00007,1995-01-01,70439.0
MBR-00007,1996-01-01,72411.29
MBR-00007,1997-01-01,74438.81
MBR-00007,1998-01-01,76523.09
MBR-00007,1999-01-01,78665.74
MBR-00007,2000-01-01,80868.38
MBR-00007,2001-01-01,83132.7
MBR-00007,2002-01-01,85460.41
MBR-00007,2003-01-01,87853.3
MBR-00007,2004-01-01,90313.2
MBR-00007,2005-01-01,92841.97
MBR-00007,2006-01-01,95441.54
MBR-00007,2007-01-01,98113.9
MBR-00007,2008-01-01,100861.09
MBR-00007,2009-01-01,103685.2
MBR-00007,2010-01-01,106588.39
MBR-00007,2011-01-01,109572.86
MBR-00007,2012-01-01,112640.9
MBR-00007,2013-01-01,115794.85
MBR-00007,2014-01-01,119037.11
MBR-00007,2015-01-01,122370.15
MBR-00007,2016-01-01,125796.51
MBR-00007,2017-01-01,129318.81
MBR-00007,2018-01-01,132939.74
MBR-00007,2019-01-01,136662.05
MBR-00008,2009-01-01,52282.0
MBR-00008,2010-01-01,53745.9
MBR-00008,2011-01-01,55250.78
MBR-00008,2012-01-01,56797.8
MBR-00008,2013-01-01,58388.14
MBR-00008,2014-01-01,60023.01
MBR-00008,2015-01-01,61703.65
MBR-00008,2016-01-01,63431.36
MBR-00008,2017-01-01,65207.43
MBR-00008,2018-01-01,67033.24
MBR-00008,2019-01-01,68910.17
MBR-00008,2020-01-01,70839.66
MBR-00008,2021-01-01,72823.17
MBR-00008,2022-01-01,74862.22
MBR-00008,2023-01-01,76958.36
MBR-00008,2024-01-01,79113.19
MBR-00008,2025-01-01,81328.36
MBR-00008,2026-01-01,83605.56
MBR-00008,2027-01-01,85946.51
MBR-00008,2028-01-01,88353.01
MBR-00008,2029-01-01,90826.9
MBR-00008,2030-01-01,93370.05
MBR-00008,2031-01-01,95984.41
MBR-00008,2032-01-01,98671.98
MBR-00008,2033-01-01,101434.79
MBR-00008,2034-01-01,104274.97
MBR-00008,2035-01-01,107194.67
MBR-00008,2036-01-01,110196.12
MBR-00008,2037-01-01,113281.61
MBR-00008,2038-01-01,116453.49
MBR-00008,2039-01-01,119714.19
MBR-00008,2040-01-01,123066.19
MBR-00008,2041-01-01,126512.04
MBR-00009,1983-01-01,34735.0
MBR-00009,1984-01-01,35707.58
MBR-00009,1985-01-01,36707.39
MBR-00009,1986-01-01,37735.2
MBR-00009,1987-01-01,38791.78
MBR-00009,1988-01-01,39877.95
MBR-00009,1989-01-01,40994.54
MBR-00009,1990-01-01,42142.38
MBR-00009,1991-01-01,43322.37
MBR-00009,1992-01-01,44535.4
MBR-00009,1993-01-01,45782.39
MBR-00009,1994-01-01,47064.3
MBR-00009,1995-01-01,48382.1
MBR-00009,1996-01-01,49736.79
MBR-00009,1997-01-01,51129.42
MBR-00009,1998-01-01,52561.05
MBR-00009,1999-01-01,54032.76
MBR-00009,2000-01-01,55545.68
MBR-00009,2001-01-01,57100.95
MBR-00009,2002-01-01,58699.78
MBR-00009,2003-01-01,60343.37
MBR-00009,2004-01-01,62032.99
MBR-00009,2005-01-01,63769.91
MBR-00009,2006-01-01,65555.47
MBR-00009,2007-01-01,67391.02
MBR-00009,2008-01-01,69277.97
MBR-00009,2009-01-01,71217.76
MBR-00009,2010-01-01,73211.85
MBR-00009,2011-01-01,75261.78
MBR-00010,1983-01-01,66386.0
MBR-00010,1984-01-01,68244.81
MBR-00010,1985-01-01,70155.66
MBR-00010,1986-01-01,72120.02
MBR-00010,1987-01-01,74139.38
MBR-00010,1988-01-01,76215.28
MBR-00010,1989-01-01,78349.31
MBR-00010,1990-01-01,80543.09
MBR-00010,1991-01-01,82798.3
MBR-00010,1992-01-01,85116.65
MBR-00010,1993-01-01,87499.92
MBR-00010,1994-01-01,89949.92
MBR-00010,1995-01-01,92468.51
MBR-00010,1996-01-01,95057.63
MBR-00010,1997-01-01,97719.25
MBR-00010,1998-01-01,100455.38
MBR-00010,1999-01-01,103268.14
MBR-00010,2000-01-01,106159.64
MBR-00010,2001-01-01,109132.11
MBR-00010,2002-01-01,112187.81
MBR-00010,2003-01-01,115329.07
MBR-00010,2004-01-01,118558.29
MBR-00010,2005-01-01,121877.92
MBR-00010,2006-01-01,125290.5
MBR-00010,2007-01-01,128798.63
MBR-00010,2008-01-01,132404.99
MBR-00010,2009-01-01,136112.33
MBR-00010,2010-01-01,139923.48
MBR-00010,2011-01-01,143841.34
MBR-00010,2012-01-01,147868.89
MBR-00010,2013-01-01,152009.22
MBR-00011,2016-01-01,68477.0
MBR-00011,2017-01-01,70394.36
MBR-00011,2018-01-01,72365.4
MBR-00011,2019-01-01,74391.63
MBR-00011,2020-01-01,76474.59
MBR-00011,2021-01-01,78615.88
MBR-00011,2022-01-01,80817.13
MBR-00011,2023-01-01,83080.01
MBR-00011,2024-01-01,85406.25
MBR-00011,2025-01-01,87797.62
MBR-00011,2026-01-01,90255.96
MBR-00012,1974-01-01,32086.0
MBR-00012,1975-01-01,32984.41
MBR-00012,1976-01-01,33907.97
MBR-00012,1977-01-01,34857.39
MBR-00012,1978-01-01,35833.4
MBR-00012,1979-01-01,36836.74
MBR-00012,1980-01-01,37868.17
MBR-00012,1981-01-01,38928.47
MBR-00012,1982-01-01,40018.47
MBR-00012,1983-01-01,41138.99
MBR-00012,1984-01-01,42290.88
MBR-00012,1985-01-01,43475.03
MBR-00012,1986-01-01,44692.33
MBR-00012,1987-01-01,45943.71
MBR-00012,1988-01-01,47230.13
MBR-00012,1989-01-01,48552.58
MBR-00012,1990-01-01,49912.05
MBR-00012,1991-01-01,51309.59
MBR-00012,1992-01-01,52746.26
MBR-00012,1993-01-01,54223.15
MBR-00012,1994-01-01,55741.4
MBR-00012,1995-01-01,57302.16
MBR-00012,1996-01-01,58906.62
MBR-00012,1997-01-01,60556.01
MBR-00012,1998-01-01,62251.57
MBR-00012,1999-01-01,63994.62
MBR-00012,2000-01-01,65786.47
MBR-00012,2001-01-01,67628.49
MBR-00012,2002-01-01,69522.09
MBR-00012,2003-01-01,71468.7
MBR-00012,2004-01-01,73469.83
MBR-00012,2005-01-01,75526.98
MBR-00012,2006-01-01,77641.74
MBR-00012,2007-01-01,79815.71
MBR-00012,2008-01-01,82050.55
MBR-00012,2009-01-01,84347.96
MBR-00012,2010-01-01,86709.7
MBR-00012,2011-01-01,89137.58
MBR-00012,2012-01-01,91633.43
MBR-00012,2013-01-01,94199.16
MBR-00012,2014-01-01,96836.74
MBR-00012,2015-01-01,99548.17
MBR-00012,2016-01-01,102335.52
MBR-00012,2017-01-01,105200.91
MBR-00013,1988-01-01,69848.0
MBR-00013,1989-01-01,71803.74
MBR-00013,1990-01-01,73814.25
MBR-00013,1991-01-01,75881.05
MBR-00013,1992-01-01,78005.72
MBR-00013,1993-01-01,80189.88
MBR-00013,1994-01-01,82435.19
MBR-00013,1995-01-01,84743.38
MBR-00013,1996-01-01,87116.19
MBR-00013,1997-01-01,89555.45
MBR-00013,1998-01-01,92063.0
MBR-00013,1999-01-01,94640.76
MBR-00013,2000-01-01,97290.71
MBR-00013,2001-01-01,100014.84
MBR-00013,2002-01-01,102815.26
MBR-00013,2003-01-01,105694.09
MBR-00013,2004-01-01,108653.52
MBR-00013,2005-01-01,111695.82
MBR-00013,2006-01-01,114823.3
MBR-00013,2007-01-01,118038.36
MBR-00013,2008-01-01,121343.43
MBR-00013,2009-01-01,124741.05
MBR-00013,2010-01-01,128233.8
MBR-00013,2011-01-01,131824.34
MBR-00013,2012-01-01,135515.42
MBR-00014,2006-01-01,38663.0
MBR-00014,2007-01-01,39745.56
MBR-00014,2008-01-01,40858.44
MBR-00014,2009-01-01,42002.48
MBR-00014,2010-01-01,43178.55
MBR-00014,2011-01-01,44387.54
MBR-00014,2012-01-01,45630.4
MBR-00014,2013-01-01,46908.05
MBR-00014,2014-01-01,48221.47
MBR-00014,2015-01-01,49571.67
MBR-00014,2016-01-01,50959.68
MBR-00014,2017-01-01,52386.55
MBR-00014,2018-01-01,53853.37
MBR-00014,2019-01-01,55361.27
MBR-00014,2020-01-01,56911.38
MBR-00014,2021-01-01,58504.9
MBR-00014,2022-01-01,60143.04
MBR-00014,2023-01-01,61827.05
MBR-00014,2024-01-01,63558.2
MBR-00014,2025-01-01,65337.83
MBR-00014,2026-01-01,67167.29
MBR-00014,2027-01-01,69047.98
MBR-00014,2028-01-01,70981.32
